,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence
61,43,2 Reasons,Trey Songz ft. T.I.,20,2012-07-21,2012-12-01,197.62666,-5.088,94.033,0.787,4.0,1.0,11.0,0.38,1.0,0.17
62,24,2 Step,Unk,21,2007-02-24,2007-07-14,195.78667,-2.274,77.003,0.157,4.0,1.0,11.0,0.73,0.0,0.561
63,94,20/20,Lil Tjay,1,2020-01-18,2020-01-18,230.44798,-12.779,100.044,0.224,4.0,1.0,4.0,0.581,1.0,0.569
64,31,2012 (It Ain't The End),Jay Sean ft. Nicki Minaj,14,2010-08-21,2010-11-20,222.2,-2.703,126.975,0.955,4.0,0.982,0.0,0.375,1.0,0.432
65,31,2040,Lil Baby & Lil Durk,2,2021-06-19,2021-06-26,192.92085,-4.067,150.046,0.478,4.0,0.863,11.0,0.445,1.0,0.446
66,51,2055,Sleepy Hallow,17,2021-07-31,2021-11-20,123.98698,-5.865,80.511,0.0,4.0,1.0,6.0,0.354,0.0,0.515
67,62,21,Polo G,8,2020-05-30,2020-09-05,163.79787,-10.646,176.027,0.345,4.0,0.923,7.0,0.316,1.0,0.5
68,22,21 Guns,Green Day,20,2009-07-11,2009-11-21,321.09332,-4.939,159.779,0.224,4.0,1.0,5.0,0.537,1.0,0.542
69,1,21 Questions,50 Cent ft. Nate Dogg,23,2003-03-22,2003-08-23,224.42667,-3.908,90.012,0.82,4.0,1.0,6.0,0.412,0.0,0.293
70,99,21st Century Girl,WILLOW,1,2011-03-19,2011-03-19,183.14449,-6.097,127.985,1.0,4.0,1.0,9.0,0.334,1.0,0.499
71,20,22,Taylor Swift,20,2012-11-10,2013-07-27,230.96,-5.62,103.984,0.725,4.0,1.0,7.0,0.793,1.0,0.643
72,52,22 (Taylor's Version),Taylor Swift,1,2021-11-27,2021-11-27,230.96,-5.62,103.984,0.725,4.0,1.0,7.0,0.793,1.0,0.643
73,34,223's,YNW Melly & 9lokknine,19,2019-09-21,2020-01-25,176.64009,-7.787,94.998,0.856,4.0,1.0,0.0,0.511,0.0,0.443
74,11,23,"Mike WiLL Made-It ft. Miley Cyrus, Wiz Khalifa & Juicy J",23,2013-09-28,2022-05-14,252.52,-5.254,140.005,0.58,4.0,0.901,9.0,0.092,1.0,0.192
75,43,24,Money Man ft. Lil Baby,14,2020-08-29,2021-09-11,182.85715,-7.746,126.03,0.833,4.0,1.0,2.0,0.598,1.0,0.647
76,85,24 Hours,TeeFLii ft. 2 Chainz,7,2014-09-13,2021-06-05,215.72,-6.682,99.957,0.395,4.0,1.0,1.0,0.02,1.0,0.541
77,78,24's,T.I.,15,2003-08-02,2003-11-08,282.90668,-4.301,162.06,0.315,4.0,1.0,6.0,0.373,1.0,0.321
78,12,24/7,Kevon Edmonds,20,2000-01-01,2019-08-24,274.26666,-5.629,116.047,0.834,4.0,1.0,4.0,0.549,1.0,0.468
79,4,24K Magic,Bruno Mars,41,2016-10-29,2017-08-05,206.69333,-4.961,134.066,0.708,4.0,0.982,1.0,0.372,1.0,0.449
80,77,25 Million,Roddy Ricch,1,2022-01-01,2022-01-01,204.62599,-9.258,132.202,0.266,4.0,0.815,9.0,0.0,1.0,0.019
81,92,25 To Life,Eminem,1,2010-07-10,2010-07-10,241.58667,-0.945,79.996,0.167,4.0,0.899,8.0,0.622,0.0,0.455
82,28,25k Jacket,Gunna ft. Lil Baby,3,2022-01-22,2022-02-05,120.0,-6.854,115.013,0.749,4.0,1.0,5.0,0.461,0.0,0.595
83,86,2Hoo,YoungBoy Never Broke Again,1,2022-02-05,2022-02-05,166.84367,-8.349,162.185,0.036,4.0,1.0,9.0,0.0,1.0,0.243
84,16,2U,David Guetta ft. Justin Bieber,11,2017-07-01,2017-09-09,194.90668,-5.828,144.875,0.41,4.0,1.0,8.0,0.689,0.0,0.663
85,51,2step,Ed Sheeran ft. Lil Baby,2,2022-05-07,2022-05-14,153.62666,-5.592,95.002,0.403,4.0,0.992,4.0,0.532,0.0,0.503
86,1,3,Britney Spears,20,2009-10-24,2010-03-06,213.17332,-1.917,134.91,0.81,4.0,1.0,5.0,0.749,0.0,0.812
87,43,3 Headed Goat,Lil Durk ft. Lil Baby & Polo G,16,2020-05-23,2020-10-31,169.53162,-8.618,143.029,0.281,4.0,1.0,8.0,0.686,0.0,0.363
88,74,3 Headed Snake,Gunna ft. Young Thug,1,2019-03-09,2019-03-09,241.9951,-10.708,135.03,0.477,4.0,1.0,6.0,0.047,1.0,0.259
89,89,3 Little Words,Nu Flavor,9,2000-06-03,2000-07-29,256.30667,-7.083,113.986,0.438,4.0,0.943,11.0,0.639,0.0,0.693
90,66,3 Peat,Lil Wayne,1,2008-06-28,2008-06-28,199.42667,-7.37,153.092,0.107,4.0,1.0,9.0,0.123,1.0,0.227
91,97,30,Pop Smoke ft. Bizzy Banks,1,2021-07-31,2021-07-31,228.25175,-5.908,106.743,0.229,3.0,0.989,0.0,0.795,1.0,0.731
92,88,30 For 30 Freestyle,Drake,2,2015-10-10,2015-10-17,253.93488,-9.143,89.252,0.22,4.0,1.0,4.0,0.585,0.0,0.484
93,65,31 Days,Future,2,2018-07-21,2018-07-28,240.68227,-6.554,139.086,0.862,4.0,1.0,1.0,0.664,1.0,0.596
94,93,33,Polo G,1,2020-05-30,2020-05-30,170.05714,-10.191,180.067,0.073,4.0,1.0,5.0,0.057,0.0,0.273
95,2,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,28,2020-11-14,2021-05-22,182.43782,-5.766,109.988,0.351,4.0,1.0,0.0,0.468,1.0,0.516
96,82,3500,Travi$ Scott ft. Future & 2 Chainz,1,2015-06-27,2015-06-27,461.84,-6.062,123.968,0.397,4.0,0.988,8.0,0.434,0.0,0.358
97,86,365,Zedd & Katy Perry,1,2019-03-02,2019-03-02,181.89967,-5.479,98.039,0.25,4.0,1.0,2.0,0.618,0.0,0.627
98,32,3am,Eminem,1,2009-05-16,2009-05-16,319.85333,-2.601,76.439,0.457,4.0,0.961,4.0,0.266,0.0,0.244
99,55,4 AM,Melanie Fiona,12,2012-02-18,2017-09-09,290.02667,-7.155,128.399,0.448,4.0,0.956,0.0,0.693,0.0,0.716
100,67,4 Da Gang,Future,14,2017-11-11,2021-07-24,187.7487,-7.534,146.244,0.225,4.0,0.799,2.0,0.5,1.0,0.524
101,37,4 Ever,Lil' Mo ft. Fabolous,20,2003-03-22,2003-08-02,222.94667,-10.668,99.059,0.027,4.0,1.0,6.0,0.522,1.0,0.489
102,54,4 In The Morning,Gwen Stefani,16,2007-06-09,2007-09-22,291.10666,-6.261,92.409,0.673,4.0,1.0,10.0,0.199,1.0,0.216
103,3,4 Minutes,Avant,20,2006-03-25,2010-05-08,240.32,-5.429,119.969,0.43,4.0,1.0,10.0,0.458,1.0,0.382
104,90,4 My Town (Play Ball),Birdman ft. Drake & Lil Wayne,3,2009-12-12,2010-04-24,261.26666,-6.567,152.114,0.554,4.0,1.0,1.0,0.805,1.0,0.52
105,29,4 Your Eyez Only,J. Cole,1,2016-12-31,2016-12-31,216.52,-12.335,138.97,0.609,4.0,0.996,6.0,0.0,0.0,0.0
106,28,"4, 5, 6",Sole ft. JT Money & Kandi,16,2000-01-01,2000-02-12,255.76,-3.596,79.974,0.433,4.0,1.0,11.0,0.643,0.0,0.47
107,39,44 Bulldog,Pop Smoke,2,2020-07-18,2020-07-25,150.85715,-5.817,139.989,0.432,4.0,1.0,8.0,0.367,1.0,0.535
108,22,44 More,Logic,5,2018-03-10,2018-04-07,188.6,-7.098,139.965,0.706,4.0,1.0,10.0,0.218,0.0,0.352
109,50,4422,Drake ft. Sampha,2,2017-04-08,2017-04-15,186.29306,-12.36,111.887,0.499,4.0,0.696,11.0,0.379,0.0,0.476
110,60,444+222,Lil Uzi Vert,3,2017-09-16,2017-09-30,247.34721,-6.568,76.997,0.039,4.0,0.846,10.0,0.571,0.0,0.623
111,35,4:44,JAY-Z,2,2017-07-29,2017-08-05,284.49332,-4.965,177.997,0.082,4.0,0.892,9.0,0.018,1.0,0.077
112,96,4KT Baby,YoungBoy Never Broke Again,1,2022-04-16,2022-04-16,137.14285,-6.466,167.962,0.46,4.0,1.0,6.0,0.599,0.0,0.596
113,56,4th Baby Mama,Summer Walker,1,2021-11-20,2021-11-20,225.0,-9.643,111.98,0.316,4.0,1.0,9.0,0.499,1.0,0.432
114,42,4th Dimension,KIDS SEE GHOSTS ft. Louis Prima,1,2018-06-23,2018-06-23,153.35147,-6.755,171.945,0.466,4.0,0.981,1.0,0.0,1.0,0.0
115,10,5 O'Clock,T-Pain ft. Wiz Khalifa & Lily Allen,20,2011-10-15,2012-02-25,281.28,-5.495,83.066,0.089,4.0,1.0,7.0,0.823,0.0,0.632
116,79,5 Star,Yo Gotti,2,2009-11-28,2009-12-05,247.44,-5.598,76.493,0.038,4.0,0.766,9.0,0.451,1.0,0.427
117,36,5% Tint,Travis Scott,2,2018-08-18,2018-08-25,196.13846,-5.415,140.0,0.169,4.0,1.0,4.0,0.0,0.0,0.0
118,33,5-1-5-0,Dierks Bentley,20,2012-05-26,2012-10-06,182.89333,-5.181,116.992,0.889,4.0,0.965,1.0,0.617,0.0,0.466
119,59,50 Shots,YoungBoy Never Broke Again,1,2021-10-09,2021-10-09,161.30865,-5.874,78.517,0.54,4.0,1.0,2.0,0.409,1.0,0.486
120,20,50 Ways To Say Goodbye,Train,20,2012-07-28,2012-12-08,247.94667,-2.664,140.043,0.869,4.0,0.378,6.0,0.611,1.0,0.516
121,92,5500 Degrees,"EST Gee ft. Lil Baby, 42 Dugg & Rylo Rodriguez",2,2021-08-07,2021-08-28,184.83333,-6.542,98.081,0.367,4.0,1.0,7.0,0.671,1.0,0.375
122,9,6 Foot 7 Foot,Lil Wayne ft. Cory Gunz,21,2011-01-01,2011-05-21,248.58667,-5.429,79.119,0.092,4.0,1.0,2.0,0.801,1.0,0.658
123,83,6 God,Drake,1,2015-03-07,2015-03-07,180.66667,-8.595,105.446,0.471,4.0,1.0,2.0,0.643,1.0,0.475
124,18,6 Inch,Beyonce ft. The Weeknd,3,2016-05-14,2016-05-28,260.44,-8.832,138.011,0.636,4.0,1.0,6.0,0.366,1.0,0.574
125,60,6 Kiss,Trippie Redd ft. Juice WRLD & YNW Melly,4,2019-12-07,2019-12-28,199.43665,-10.061,142.048,0.13,4.0,0.348,2.0,0.282,1.0,0.616
126,97,6 Man,Drake,1,2015-03-07,2015-03-07,167.65334,-9.306,83.589,0.115,4.0,0.985,4.0,0.46,1.0,0.404
127,73,66,Lil Yachty ft. Trippie Redd,1,2018-03-24,2018-03-24,153.47498,-4.31,148.058,0.219,4.0,1.0,5.0,0.593,0.0,0.561
128,4,679,Fetty Wap ft. Remy Boyz,40,2015-07-18,2016-04-16,196.69333,-5.738,190.05,0.096,4.0,1.0,7.0,0.333,1.0,0.616
129,10,7 Days,Craig David,20,2001-12-08,2002-04-20,235.13333,-7.499,83.014,0.0,4.0,0.991,4.0,0.571,0.0,0.553
130,1,7 Rings,Ariana Grande,33,2019-02-02,2019-09-14,178.62666,-10.732,140.048,0.134,4.0,1.0,1.0,0.691,0.0,0.738
131,6,7 Summers,Morgan Wallen,24,2020-08-29,2021-02-13,210.50667,-5.13,203.903,0.33,4.0,1.0,0.0,0.78,1.0,0.821
132,9,7 Things,Miley Cyrus,15,2008-06-21,2008-09-27,213.45332,-4.478,107.023,0.905,4.0,0.794,1.0,0.171,0.0,0.439
133,2,7 Years,Lukas Graham,36,2016-02-06,2016-10-08,237.3,-5.829,119.992,0.39,4.0,0.94,10.0,0.512,1.0,0.516
134,13,7/11,Beyonce,20,2014-12-13,2015-04-25,213.50667,-5.137,136.024,0.43,4.0,1.0,9.0,0.343,0.0,0.38
135,8,712PM,Future,1,2022-05-14,2022-05-14,173.18668,-6.409,146.971,0.765,4.0,1.0,5.0,0.666,0.0,0.708
136,16,7am On Bridle Path,Drake,3,2021-09-18,2021-10-02,239.6351,-4.108,89.901,0.396,4.0,1.0,5.0,0.685,0.0,0.504
137,79,8,Billie Eilish,1,2019-04-13,2019-04-13,173.20158,-13.239,62.446,0.262,4.0,0.796,3.0,0.822,1.0,0.684
138,21,8 Out Of 10,Drake,3,2018-07-14,2018-07-28,195.72,-7.87,170.538,0.01,4.0,0.944,2.0,0.325,1.0,0.376
139,74,80s Mercedes,Maren Morris,13,2016-11-05,2017-02-25,211.76721,-5.413,90.933,0.564,4.0,1.0,9.0,0.568,1.0,0.585
140,46,865,Morgan Wallen,5,2021-01-23,2021-02-20,190.68,-5.254,88.003,0.203,4.0,0.977,8.0,0.469,1.0,0.601
141,94,8th Of November,Big & Rich,2,2006-07-22,2006-07-29,298.24,-2.665,169.11,0.259,3.0,0.891,2.0,1.0,1.0,0.814
142,49,8th World Wonder,Kimberley Locke,20,2004-03-27,2004-08-07,240.73334,-4.065,100.041,0.419,4.0,0.982,7.0,0.62,1.0,0.713
143,45,9,Drake,5,2016-05-21,2016-06-18,255.78667,-7.184,100.009,0.479,4.0,0.877,10.0,0.0,1.0,0.046
144,57,9 AM In Dallas,Drake,1,2010-07-03,2010-07-03,,,,,,,,,,
145,61,9 Piece,Rick Ross ft. Lil Wayne Or T.I.,2,2011-05-28,2011-06-04,239.98666,-6.856,144.976,0.03,4.0,1.0,11.0,0.708,1.0,0.603
146,38,911,Wyclef Jean ft. Mary J. Blige,19,2000-10-07,2001-02-10,259.33334,-9.185,87.011,0.493,4.0,1.0,7.0,0.0,1.0,0.19
147,40,92 Explorer,Post Malone,3,2018-05-12,2018-05-26,211.42667,-4.811,146.046,0.662,4.0,1.0,7.0,0.547,0.0,0.536
148,8,95.south,J. Cole,3,2021-05-29,2021-06-12,,,,,,,,,,
149,30,99 Problems,JAY-Z,12,2004-05-08,2012-05-26,234.62666,-4.297,89.554,0.273,4.0,0.638,6.0,0.306,0.0,0.414
150,57,99.9% Sure (I've Never Been Here Before),Brian McComas,11,2003-07-12,2003-09-20,193.29333,-3.412,116.014,0.896,4.0,0.536,7.0,0.757,1.0,0.682
151,35,@ MEH,Playboi Carti,1,2020-05-02,2020-05-02,166.79918,-8.11,151.044,0.938,4.0,1.0,11.0,0.459,0.0,0.513
152,7,A Bay Bay,Hurricane Chris,20,2007-06-23,2007-11-03,257.12,-4.884,60.709,0.136,3.0,0.42,6.0,0.04,1.0,0.202
153,74,A Boy Is A Gun,"Tyler, The Creator",1,2019-06-01,2019-06-01,210.25333,-8.302,79.568,0.003,4.0,0.797,2.0,0.288,0.0,0.285
154,66,A Broken Wing,Jordin Sparks,2,2007-06-09,2007-06-16,,,,,,,,,,
155,72,A Case Of You,James Wolpert,1,2013-11-23,2013-11-23,232.6609,-9.588,187.428,0.109,4.0,0.371,8.0,0.448,1.0,0.636
156,56,A Change Is Gonna Come,Adam Lambert,1,2009-06-06,2009-06-06,,,,,,,,,,
157,75,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,3,2000-01-01,2000-01-15,,,,,,,,,,
158,58,A Different World,Bucky Covington,20,2007-05-05,2007-09-15,208.57333,-5.027,128.962,0.828,4.0,0.562,9.0,0.425,1.0,0.555
159,94,A Feelin' Like That,Gary Allan,1,2007-05-05,2007-05-05,210.64,-8.444,113.486,0.837,4.0,0.839,8.0,0.461,1.0,0.363
160,55,A Few Questions,Clay Walker,13,2003-08-09,2003-11-01,242.29333,-4.78,161.044,0.149,4.0,0.98,2.0,0.726,1.0,0.828
161,98,A Girl Like You,Easton Corbin,1,2018-02-17,2018-02-17,217.84,-4.481,104.991,0.765,4.0,1.0,5.0,0.847,1.0,0.583
162,76,A Good Day To Run,Darryl Worley,9,2001-01-20,2001-03-17,188.33333,-5.537,147.106,0.666,4.0,0.313,6.0,0.962,1.0,0.764
163,54,A Great Big Sled,The Killers ft. Toni Halliday,2,2006-12-23,2007-01-06,262.58667,-3.869,127.959,0.811,4.0,0.818,0.0,0.687,1.0,0.625
164,51,A Guy Walks Into A Bar,Tyler Farr,20,2015-01-17,2015-05-30,196.0,-3.472,147.986,0.602,4.0,0.989,0.0,0.749,1.0,0.78
165,42,A Guy With A Girl,Blake Shelton,17,2016-12-03,2017-03-25,189.46667,-4.593,163.948,0.505,4.0,0.805,0.0,0.585,1.0,0.607
166,4,A Holly Jolly Christmas,Burl Ives,26,2017-01-07,2022-01-08,135.53333,-13.056,140.467,0.47,4.0,0.344,0.0,0.282,1.0,0.37
167,70,A House Is Not A Home,Glee Cast,1,2010-05-15,2010-05-15,282.92,-6.133,106.3,0.003,3.0,0.681,5.0,0.483,0.0,0.499
168,100,A La Primera Persona,Alejandro Sanz,1,2006-11-25,2006-11-25,301.93307,-5.154,121.026,0.178,4.0,0.802,8.0,0.561,1.0,0.602
169,75,A Lie,French Montana ft. The Weeknd & Max B,1,2017-08-05,2017-08-05,226.7902,-5.38,121.189,0.259,5.0,0.936,1.0,0.134,0.0,0.278
170,65,A Light That Never Comes,Linkin Park X Steve Aoki,1,2013-10-05,2013-10-05,229.43906,-5.531,115.0,0.913,4.0,1.0,0.0,0.398,1.0,0.323
171,11,A Little Bit Longer,Jonas Brothers,1,2008-08-23,2008-08-23,175.09332,-3.462,114.03,0.391,4.0,1.0,2.0,0.324,1.0,0.543
172,34,A Little Bit Stronger,Sara Evans,21,2011-01-15,2011-06-04,301.98666,-5.603,147.93,0.528,4.0,0.95,2.0,0.31,1.0,0.5
173,75,A Little Gasoline,Terri Clark,6,2000-12-16,2001-01-20,188.64,-3.798,76.7,0.277,4.0,0.996,2.0,0.802,1.0,0.753
